Date	Value
1995-4-15	-15.2807291
1995-7-15	-15.5807291
1995-10-15	-11.5473958
1996-1-15	-7.2473958
1996-4-15	-15.1807291
1996-7-15	-11.9473958
1996-10-15	-5.1473958
1997-1-15	-6.4807291
1997-4-15	0.1192708
1997-7-15	-2.6473958
1997-10-15	-2.1140625
1998-1-15	-1.8473958
1998-4-15	-11.6473958
1998-7-15	-10.8140625
1998-10-15	-9.1140625
1999-1-15	-8.4807291
1999-4-15	-0.6473958
1999-7-15	-0.2473958
1999-10-15	-3.0807291
2000-1-15	-8.3473958
2000-4-15	0.7859375
2000-7-15	2.9526041
2000-10-15	-4.6140625
2001-1-15	-0.8140625
2001-4-15	2.7526041
2001-7-15	4.7192708
2001-10-15	3.3192708
2002-1-15	-2.7807291
2002-4-15	-1.0473958
2002-7-15	2.1526041
2002-10-15	5.2192708
2003-1-15	4.3859375
2003-4-15	5.9192708
2003-7-15	14.6192708
2003-10-15	15.7192708
2004-1-15	8.2526041
2004-4-15	9.1526041
2004-7-15	13.6526041
2004-10-15	9.9859375
2005-1-15	10.6192708
2005-4-15	10.0526041
2005-7-15	12.1192708
2005-10-15	6.3526041
2006-1-15	6.6526041
2006-4-15	14.1192708
2006-7-15	9.5192708
2006-10-15	13.6526041
2007-1-15	4.3859375
2007-4-15	10.3859375
2007-7-15	22.7859375
2007-10-15	17.5192708
2008-1-15	17.5526041
2008-4-15	25.3526041
2008-7-15	30.4526041
2008-10-15	23.8192708
2009-1-15	19.3192708
2009-4-15	24.6526041
2009-7-15	33.6526041
2009-10-15	38.0859375
2010-1-15	38.7769352
2010-4-15	34.8854726
2010-7-15	33.8782400
2010-10-15	37.2510255
2011-1-15	37.3479490
2011-4-15	35.9777618
2011-7-15	36.7184707
2011-10-15	34.6825057
2012-1-15	34.2002488
2012-4-15	41.7208854
2012-7-15	47.1739032
2012-10-15	46.2714744
2013-1-15	44.8045705
2013-4-15	44.5779157
2013-7-15	41.3379866
2013-10-15	37.3871177
2014-1-15	41.2686416
2014-4-15	48.8169119
2014-7-15	53.8573721
2014-10-15	55.6758828
2015-1-15	53.2645778
2015-4-15	50.0820901
2015-7-15	50.4617056
2015-10-15	54.9093527
2016-1-15	58.7232865
2016-4-15	56.7115922
2016-7-15	54.3469636
2016-10-15	55.5410032
2017-1-15	54.9616812
2017-4-15	55.6123727
2017-7-15	57.3559913
2017-10-15	52.5195199
2018-1-15	49.3708590
2018-4-15	52.5754513
2018-7-15	53.0851219
2018-10-15	53.3016618
2019-1-15	56.6074862
2019-4-15	58.6719058
2019-7-15	61.3937132
2019-10-15	67.2498485
2020-1-15	68.8116297
2020-4-15	66.7399619
2020-7-15	66.7043250
2020-10-15	61.7430396
